date,datetime,cash_type,card,money,coffee_name,hour,transaction_category,day,month,year,month_name,datetime_time
01/03/2024,15:50.5,card,ANON-0000-0000-0001,38.7,Latte,10,Medium,1,3,2024,March,15:50.5
01/03/2024,19:22.5,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12,Medium,1,3,2024,March,19:22.5
01/03/2024,20:18.1,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12,Medium,1,3,2024,March,20:18.1
01/03/2024,46:33.0,card,ANON-0000-0000-0003,28.9,Americano,13,Medium,1,3,2024,March,46:33.0
01/03/2024,48:14.6,card,ANON-0000-0000-0004,38.7,Latte,13,Medium,1,3,2024,March,48:14.6
01/03/2024,39:47.7,card,ANON-0000-0000-0005,33.8,Americano with Milk,15,Medium,1,3,2024,March,39:47.7
01/03/2024,19:02.8,card,ANON-0000-0000-0006,38.7,Hot Chocolate,16,Medium,1,3,2024,March,19:02.8
01/03/2024,39:03.6,card,ANON-0000-0000-0007,33.8,Americano with Milk,18,Medium,1,3,2024,March,39:03.6
01/03/2024,22:01.8,card,ANON-0000-0000-0008,38.7,Cocoa,19,Medium,1,3,2024,March,22:01.8
01/03/2024,23:15.9,card,ANON-0000-0000-0008,33.8,Americano with Milk,19,Medium,1,3,2024,March,23:15.9
01/03/2024,29:17.4,card,ANON-0000-0000-0009,33.8,Americano with Milk,19,Medium,1,3,2024,March,29:17.4
02/03/2024,22:07.0,card,ANON-0000-0000-0010,28.9,Americano,10,Medium,2,3,2024,March,22:07.0
02/03/2024,30:35.7,cash,Cash,40,Latte,10,Medium,2,3,2024,March,30:35.7
02/03/2024,41:41.2,card,ANON-0000-0000-0011,33.8,Americano with Milk,10,Medium,2,3,2024,March,41:41.2
02/03/2024,59:45.5,card,ANON-0000-0000-0012,33.8,Americano with Milk,11,Medium,2,3,2024,March,59:45.5
02/03/2024,38:35.5,card,ANON-0000-0000-0013,28.9,Americano,14,Medium,2,3,2024,March,38:35.5
02/03/2024,37:24.5,card,ANON-0000-0000-0014,33.8,Americano with Milk,16,Medium,2,3,2024,March,37:24.5
02/03/2024,34:55.0,card,ANON-0000-0000-0004,28.9,Americano,17,Medium,2,3,2024,March,34:55.0
03/03/2024,10:44.0,cash,Cash,40,Latte,10,Medium,3,3,2024,March,10:44.0
03/03/2024,27:18.6,card,ANON-0000-0000-0015,38.7,Latte,10,Medium,3,3,2024,March,27:18.6
03/03/2024,33:56.1,card,ANON-0000-0000-0016,28.9,Cortado,11,Medium,3,3,2024,March,33:56.1
03/03/2024,26:56.1,card,ANON-0000-0000-0012,28.9,Americano,12,Medium,3,3,2024,March,26:56.1
03/03/2024,09:36.3,card,ANON-0000-0000-0017,38.7,Hot Chocolate,13,Medium,3,3,2024,March,09:36.3
03/03/2024,06:40.3,card,ANON-0000-0000-0018,38.7,Cocoa,17,Medium,3,3,2024,March,06:40.3
03/03/2024,08:45.9,card,ANON-0000-0000-0019,28.9,Cortado,17,Medium,3,3,2024,March,08:45.9
03/03/2024,03:23.4,card,ANON-0000-0000-0020,33.8,Americano with Milk,18,Medium,3,3,2024,March,03:23.4
03/03/2024,04:27.9,card,ANON-0000-0000-0020,33.8,Americano with Milk,18,Medium,3,3,2024,March,04:27.9
03/03/2024,08:05.0,card,ANON-0000-0000-0020,38.7,Hot Chocolate,18,Medium,3,3,2024,March,08:05.0
04/03/2024,03:52.0,card,ANON-0000-0000-0001,38.7,Latte,10,Medium,4,3,2024,March,03:52.0
04/03/2024,54:51.0,card,ANON-0000-0000-0021,38.7,Latte,10,Medium,4,3,2024,March,54:51.0
04/03/2024,05:16.2,card,ANON-0000-0000-0012,33.8,Americano with Milk,11,Medium,4,3,2024,March,05:16.2
04/03/2024,04:37.7,card,ANON-0000-0000-0022,24,Espresso,14,Medium,4,3,2024,March,04:37.7
05/03/2024,59:52.7,card,ANON-0000-0000-0001,38.7,Latte,9,Medium,5,3,2024,March,59:52.7
05/03/2024,34:56.0,card,ANON-0000-0000-0023,38.7,Latte,14,Medium,5,3,2024,March,34:56.0
05/03/2024,34:06.0,card,ANON-0000-0000-0024,38.7,Latte,17,Medium,5,3,2024,March,34:06.0
